Projeto,Classe,CBO,DIT,LCOM
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/saga/src/main/java/com/iluwatar/saga/choreography/SagaApplication.java,1,9,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/repository/src/main/java/com/iluwatar/repository/App.java,0,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/health-check/src/main/java/com/iluwatar/health/check/HealthCheck.java,2,5,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/service-layer/src/main/java/com/iluwatar/servicelayer/spell/SpellDaoImpl.java,2,8,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/model-view-intent/src/main/java/com/iluwatar/model/view/intent/CalculatorModel.java,2,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/identity-map/src/main/java/com/iluwatar/identitymap/PersonDbSimulatorImplementation.java,4,4,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/event-sourcing/src/main/java/com/iluwatar/event/sourcing/event/MoneyDepositEvent.java,3,6,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/strategy/src/main/java/com/iluwatar/strategy/ProjectileStrategy.java,2,2,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/domain-model/src/main/java/com/iluwatar/domainmodel/ProductDao.java,5,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/event-based-asynchronous/src/main/java/com/iluwatar/event/asynchronous/ThreadCompleteListener.java,2,0,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/composite/src/main/java/com/iluwatar/composite/Letter.java,1,2,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/sharding/src/test/java/com/iluwatar/sharding/ShardManagerTest.java,0,2,2
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/pipeline/src/main/java/com/iluwatar/pipeline/App.java,0,6,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/value-object/src/main/java/com/iluwatar/value/object/App.java,0,1,1
java-design-patterns,/home/jota/classroom/lab-02-qualidade-java/repos/java-design-patterns/business-delegate/src/main/java/com/iluwatar/business/delegate/YouTubeService.java,3,2,1
